NTA,Average Savings,Total Jobs Created
Battery Park City-Lower Manhattan,469890.79666666663,0
Queensbridge-Ravenswood-Long Island City,61830.770625,0
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,59950.340000000004,0
East New York,48433.09333333333,15
Hunts Point,39246.016153846154,12
SoHo-TriBeCa-Civic Center-Little Italy,37214.024,0
Bushwick South,26140.455000000005,10
Carroll Gardens-Columbia Street-Red Hook,24337.390000000003,0
Hunters Point-Sunnyside-West Maspeth,23931.398933333337,0
Mott Haven-Port Morris,17843.937857142857,10
Springfield Gardens South-Brookville,17757.662,0
College Point,17159.372857142855,2
park-cemetery-etc-Brooklyn,14327.419333333331,0
Sunset Park West,14316.976875000002,0
East Williamsburg,13990.626363636366,0
Steinway,11227.155714285715,20
Greenpoint,9753.649285714284,0
Maspeth,6658.283333333334,10
Crown Heights North,4036.298888888889,0
Manhattanville,2760.8888888888887,0
